to_mail,template
jbutt@luminate.ai,"Email to :jbutt@luminate.ai
Subject Line :When EMVX creation comes the message ""The creation was canceled for hardware reasons"".
Hi James Butt,
I have a nearly unreadable font in my Warehouse Software under Export-File Options for 2 days.Please do contact me at 504-621-8927
Please do contact me at 504-845-1427
Thanks,
ratnesh chandak"
josephine_darakjy@luminate.ai,"Email to :josephine_darakjy@luminate.ai
Subject Line : It falters when processing highly segmented process files.
Hi Josephine Darakjy,
On Saturday the version WAREHOUSE Sales firstclass 20 Neo got, after installation it had to be found, that the label of the buttons in the export screen are not readable (eg file format, navigation, compression, font, sorting, etc. the complete caption under File options, Design title page and Design buttons.
Please do contact me at 810-374-9840
Thanks,
ratnesh chandak"
art@luminate.ai,"Email to :art@luminate.ai
Subject Line : Cwvemx files falter in Sales firstclass 20
Hi Art Venere,
In export mode, the font in the small preview window in the filemenu is always the same as the font in the header line of the submenu.
Please do contact me at 856-264-4130
Thanks,
ratnesh chandak"
lpaprocki@luminate.ai,"Email to :lpaprocki@luminate.ai
Subject Line : When creating EM / EMVX with Windows 7, it may sometimes be necessary to install an alternative driver for Ethernet card in the device manager.
Hi Lenna Paprocki,
On my specificationsheet, the text blocks are only displayed as a speech bubble, today I would have had an online presentation of my specification sheet to win a sponsor.
Please do contact me at 907-921-2010
Thanks,
ratnesh chandak"
donette.foller@luminate.ai,"Email to :donette.foller@luminate.ai
Subject Line : Drivers for the USB Process Manager could not be properly installed
Hi Donette Foller,
Since your update come strange bubbles on my sheet to light, but I did not make it!
Please do contact me at 513-549-4561
Thanks,
ratnesh chandak"
simona@luminate.ai,"Email to :simona@luminate.ai
Subject Line : EM card reader can not be detected via USB port
Hi Simona Morasca,
on my detailsheet http://www.rhein-main-versand.de since yesterday evening some Calibri texts are replaced by blue speech bubbles (?!), i.a. also the imprint
Please do contact me at 419-800-6759
Thanks,
ratnesh chandak"
mitsue_tollner@luminate.ai,"Email to :mitsue_tollner@luminate.ai
Subject Line : When opening the program the error message ""the smartcard device ..."" appears.
Hi Mitsue Tollner,
Unfortunately I can not manage my collections from today. There is nothing more when selecting the corresponding button.
Please do contact me at 773-924-8565
Thanks,
ratnesh chandak"
leota@luminate.ai,"Email to :leota@luminate.ai
Subject Line : When you install the Process Manager driver, you receive the error message ""1133: Unable to finish installation.""
Hi Leota Dilliard,
Nevertheless, the online collection opens in a new window, which only reaches half the screen size. D.H., it must be brought to full screen size by hand.
Please do contact me at 408-813-1105
Thanks,
ratnesh chandak"
sage_wieser@luminate.ai,"Email to :sage_wieser@luminate.ai
Subject Line : In the profit calculation, the following message appears after entering a period of time: ""Error while parsing the XSL data""
Hi Sage Wieser,
I would like to use the studio version, but I can not exchange the preview images, even though they were deleted in the online organizer - i. E. I have changed the order of the products or deleted products so that the preview always shows the first product, but nothing happens.Reach out me at (541) 754-3010
Please do contact me at 605-794-4895
Thanks,
ratnesh chandak"
kris@luminate.ai,"Email to :kris@luminate.ai
Subject Line : The burning stops with the message ""Internal problem"".
Hi Kris Marrier,
Suddenly, data was no longer loaded or only the charging process (circling points) was displayed, texts shifted.
Please do contact me at 410-804-4694
Thanks,
ratnesh chandak"
minna_amigon@luminate.ai,"Email to :minna_amigon@luminate.ai
Subject Line : Error code -9 when starting the program
Hi Minna Amigon,
At irregular intervals certain products disappear from the article preview.
Please do contact me at 215-422-8694
Thanks,
ratnesh chandak"
amaclead@luminate.ai,"Email to :amaclead@luminate.ai
Subject Line : Error 9000 during program installation
Hi Abel Maclead,
If I want to upload data, statistics or processes under ""Own product range"" and create a new folder, then when I click on the tool, only the selection opens
Please do contact me at 631-677-3675
Thanks,
ratnesh chandak"
kiley.caldarera@luminate.ai,"Email to :kiley.caldarera@luminate.ai
Subject Line : Program does not start. Ends at program interface will be set up.
Hi Kiley Caldarera,
I no longer have access to the product pallet center. Can not upload any more products.
Please do contact me at 310-254-3084
Thanks,
ratnesh chandak"
gruta@luminate.ai,"Email to :gruta@luminate.ai
Subject Line : Error when importing workit PRC files. Type can not be opened.
Hi Graciela Ruta,
If you select the product presentation version in the table presentation, then select Dynamicolisting or Popup when linking, Iso crashes (a script slows Iso 13. Should the script still be executed? ... or something like that). Then it does not matter if you press yes or no, because it comes to the crash: ""The Iso addon crashed"". email me at asergi[at]apple.com
Please do contact me at 440-579-7763
Thanks,
ratnesh chandak"
calbares@luminate.ai,"Email to :calbares@luminate.ai
Subject Line : Memory request invalid when importing data or processes into WAREHOUSE products in the IT & OFFICE catalog and Salesfirstclass, problem can also occur during encryption or editing.
Hi Cammy Albares,
After your last update, my product specification sheet will show both product representation (moving and enlarging products) and product presentation (data will not be displayed in a new ""Total and Partial View"" window after selection). opened.
Please do contact me at 956-841-7216
Thanks,
ratnesh chandak"
mattie@luminate.ai,"Email to :mattie@luminate.ai
Subject Line : Codec to import this file could not be found.
Hi Mattie Poquette,
my maximum activation has been reached
Please do contact me at 602-953-6360
Thanks,
ratnesh chandak"
meaghan@luminate.ai,"Email to :meaghan@luminate.ai
Subject Line : Encryption aborts with the message ""Encrypt failed"".
Hi Meaghan Garufi,
If you drag in the version 13 data and processes that were read in with the same card reader by mouse into the scheduling view, the process files either do not appear at all or without the order number fields that were imported with the data.
Please do contact me at 931-235-7959
Thanks,
ratnesh chandak"
gladys.rim@luminate.ai,"Email to :gladys.rim@luminate.ai
Subject Line : Order number error when calculating DT5 files from Tiffey Blast Workstation.
Hi Gladys Rim,
It is possible to load the general data, but not the order numbers created with it, s. o.!
Please do contact me at 414-377-2880
Thanks,
ratnesh chandak"
yuki_whobrey@luminate.ai,"Email to :yuki_whobrey@luminate.ai
Subject Line : The import of process files takes place without order number.
Hi Yuki Whobrey,
crv import without order number
Please do contact me at 313-341-4470
Thanks,
ratnesh chandak"
fletcher.flosi@luminate.ai,"Email to :fletcher.flosi@luminate.ai
Subject Line : No order numbers during card reader transfer / no connection to the hardware
Hi Fletcher Flosi,
Order number is missing from the files after import.mail me at asergi@yahoo.com
Please do contact me at 815-426-5657
Thanks,
ratnesh chandak"
bette_nicka@luminate.ai,"Email to :bette_nicka@luminate.ai
Subject Line : Data and order number of a DATA file are not synchronous.
Hi Bette Nicka,
Under Paymentreader the whole project is watching, only at the dropout no order number anymore.
Please do contact me at 610-492-4643
Thanks,
ratnesh chandak"
