to_email,extracted_number,extracted_email
jbutt@luminate.ai,504-621-8927,----
josephine_darakjy@luminate.ai,----,----
art@luminate.ai,----,----
lpaprocki@luminate.ai,----,----
donette.foller@luminate.ai,----,----
simona@luminate.ai,----,----
mitsue_tollner@luminate.ai,----,----
leota@luminate.ai,----,----
sage_wieser@luminate.ai,----,----
kris@luminate.ai,----,----
minna_amigon@luminate.ai,----,----
amaclead@luminate.ai,----,----
kiley.caldarera@luminate.ai,----,----
gruta@luminate.ai,----,----
calbares@luminate.ai,----,----
mattie@luminate.ai,----,----
meaghan@luminate.ai,----,----
gladys.rim@luminate.ai,----,----
yuki_whobrey@luminate.ai,----,----
fletcher.flosi@luminate.ai,----,asergi@yahoo.com
bette_nicka@luminate.ai,----,----
vinouye@luminate.ai,----,----
willard@luminate.ai,----,----
mroyster@luminate.ai,----,calbares@gmail.com
alisha@luminate.ai,----,----
allene_iturbide@luminate.ai,----,----
chanel.caudy@luminate.ai,----,----
ezekiel@luminate.ai,----,----
wkusko@luminate.ai,----,----
bfigeroa@luminate.ai,123-456-7890,----
ammie@luminate.ai,----,----
francine_vocelka@luminate.ai,----,----
ernie_stenseth@luminate.ai,----,----
albina@luminate.ai,----,----
asergi@luminate.ai,----,----
solange@luminate.ai,----,----
jose@luminate.ai,----,----
rozella.ostrosky@luminate.ai,----,----
valentine_gillian@luminate.ai,----,----
kati.rulapaugh@luminate.ai,----,----
youlanda@luminate.ai,----,----
doldroyd@luminate.ai,----,----
roxane@luminate.ai,----,----
lperin@luminate.ai,----,----
erick.ferencz@luminate.ai,----,----
fsaylors@luminate.ai,----,asergi@gmail.com
jina_briddick@luminate.ai,----,----
kanisha_waycott@luminate.ai,----,----
emerson.bowley@luminate.ai,----,----
